City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,coquimbo,-29.9533,-71.3436,291.0,67,20,1.54,CL,1690916755
271,colonia,50.9333,6.95,292.49,72,0,3.6,DE,1690916779
272,yangambi,0.8102,24.4336,296.7,78,75,1.06,CD,1690916780
273,baranchinskiy,58.1617,59.6991,291.11,74,100,1.28,RU,1690916781
274,galle,6.0367,80.217,299.65,87,80,5.35,LK,1690916781
275,ubatuba,-23.4339,-45.0711,296.65,68,4,2.27,BR,1690916661
276,sao miguel do araguaia,-13.275,-50.1628,308.47,18,0,2.27,BR,1690916783
277,ust'-ordynskiy,52.805,104.7508,291.3,88,100,2.01,RU,1690916783
278,bonthe,7.5264,-12.505,297.65,90,100,4.73,SL,1690916595
279,bela,25.9333,81.9833,306.11,56,100,2.7,IN,1690916785
280,kachkanar,58.7,59.4948,289.85,78,96,1.66,RU,1690916785
281,kharp,66.8014,65.8081,291.91,70,100,2.49,RU,1690916786
282,haiku-pauwela,20.9219,-156.3051,299.35,72,40,8.23,US,1690916786
283,heihe,50.2441,127.4902,293.37,88,100,0.62,CN,1690916787
284,homestead meadows south,31.811,-106.1643,307.41,28,26,1.77,US,1690916787
285,juegang,32.3174,121.1855,300.88,94,18,3.04,CN,1690916788
286,souillac,-20.5167,57.5167,295.36,88,75,4.63,MU,1690916497
287,paulo afonso,-9.4061,-38.2147,302.31,54,40,5.66,BR,1690916649
288,weno,7.4515,151.8468,300.12,89,100,0.0,FM,1690916789
289,charters towers,-20.1,146.2667,287.54,94,0,3.96,AU,1690916790
290,tiete,-23.1019,-47.7147,298.83,30,0,1.49,BR,1690916791
291,chajari,-30.7505,-57.9796,302.14,48,0,3.7,AR,1690916791
292,saint john,45.2727,-66.0677,294.72,49,75,6.69,CA,1690916666
293,karpinsk,59.7654,60.0085,287.72,92,16,1.56,RU,1690916792
294,buala,-8.145,159.5921,298.84,87,100,4.27,SB,1690916793
295,fale old settlement,-9.3852,-171.2468,301.44,74,9,7.23,TK,1690916793
296,xiva,41.3783,60.3639,299.14,21,1,5.39,UZ,1690916794
297,murun-kuren,49.6342,100.1625,288.72,93,100,1.99,MN,1690916794
298,guarapari,-20.6667,-40.4975,295.87,75,47,3.39,BR,1690916795
299,byron bay,-28.65,153.6167,285.77,76,25,4.76,AU,1690916744
300,simanggang,1.2472,111.4528,296.14,100,100,0.0,MY,1690916796
301,bol'shoye boldino,55.0059,45.3142,293.04,67,100,1.43,RU,1690916797
302,st. john's,47.5649,-52.7093,294.35,79,100,1.79,CA,1690916802
303,tasqala,51.1167,50.3167,296.59,41,11,2.83,KZ,1690916803
304,lichuan,30.3,108.85,292.09,97,60,0.95,CN,1690916731
305,bulungu,-4.55,18.6,300.17,17,15,0.7,CD,1690916804
306,mount gambier,-37.8333,140.7667,280.44,87,0,2.59,AU,1690916805
307,bikenibeu village,1.3673,173.1241,299.13,89,20,1.03,KI,1690916805
308,linxia chengguanzhen,35.6003,103.2064,291.29,77,72,1.81,CN,1690916806
309,lebu,-37.6167,-73.65,285.81,74,81,2.8,CL,1690916806
310,bathsheba,13.2167,-59.5167,302.91,69,0,3.91,BB,1690916807
311,kavaratti,10.5669,72.642,301.58,74,98,6.53,IN,1690916807
312,tacna,-18.0056,-70.2483,289.26,77,75,3.09,PE,1690916541
313,lorengau,-2.0226,147.2712,300.57,80,100,2.77,PG,1690916808
314,bomdila,27.25,92.4,289.77,97,100,1.57,IN,1690916808
315,kerema,-7.9631,145.7785,297.97,89,100,4.46,PG,1690916809
316,badger,64.8,-147.5333,295.45,76,40,0.45,US,1690916809
317,tumayr,25.7039,45.868,309.36,10,5,3.18,SA,1690916810
318,tvoroyri,61.5556,-6.8111,284.52,80,98,7.27,FO,1690916810
319,namibe,-15.1961,12.1522,290.93,87,100,0.72,AO,1690916811
320,caraballeda,10.6112,-66.8522,308.19,58,40,3.09,VE,1690916812
321,poienile de sub munte,47.8167,24.4333,290.15,78,100,1.53,RO,1690916812
322,mogadishu,2.0371,45.3438,297.85,88,100,7.29,SO,1690916813
323,olyokminsk,60.3736,120.4264,283.46,71,23,0.95,RU,1690916813
324,gornopravdinsk,60.05,69.9,289.5,86,100,3.19,RU,1690916814
325,kodiak,57.79,-152.4072,288.88,77,0,2.57,US,1690916814
326,kolokani,13.5728,-8.0339,303.79,54,66,2.84,ML,1690916815
327,howrah,22.5892,88.3103,300.15,94,100,7.72,IN,1690916729
328,bodaybo,57.8506,114.1933,285.03,81,100,1.72,RU,1690916816
329,callao,-12.0667,-77.15,295.31,64,75,4.12,PE,1690916816
330,sanchazi,42.0817,126.6003,293.53,96,100,1.42,CN,1690916817
331,montego bay,18.4712,-77.9188,305.04,70,20,6.69,JM,1690916632
332,alofi,-19.0595,-169.9187,293.09,88,100,7.72,NU,1690916818
333,tevriz,57.509,72.4042,288.17,99,33,1.9,RU,1690916819
334,beziers,43.3476,3.219,301.11,51,0,10.8,FR,1690916819
335,nadi,-17.8,177.4167,293.15,83,40,2.57,FJ,1690916820
336,abu dhabi,24.4667,54.3667,308.68,58,0,1.03,AE,1690916820
337,crane,31.3974,-102.3501,309.36,29,44,6.21,US,1690916821
